,trading_steps,episode,reward,accumulated_transfer,number_trades,episode_steps,agent
58,0,19,-200.00000000000176,0.0,0.0,499,a-1
59,0,19,2.87,0.0,0.0,499,a-2
60,0,20,-0.06000000000000005,0.0,0.0,45,overall
61,0,20,-2.5999999999999996,0.0,0.0,45,a-1
62,0,20,2.5399999999999996,0.0,0.0,45,a-2
63,0,21,-4.240000000000003,0.0,0.0,63,overall
64,0,21,2.3599999999999994,0.0,0.0,63,a-1
65,0,21,-6.600000000000002,0.0,0.0,63,a-2
66,0,22,-7.0700000000000065,0.0,0.0,31,overall
67,0,22,-9.800000000000006,0.0,0.0,31,a-1
68,0,22,2.7299999999999995,0.0,0.0,31,a-2
69,0,23,-195.27000000000174,0.0,0.0,499,overall
70,0,23,-198.00000000000173,0.0,0.0,499,a-1
71,0,23,2.7299999999999995,0.0,0.0,499,a-2
72,0,24,-20.21999999999997,0.0,0.0,64,overall
73,0,24,2.78,0.0,0.0,64,a-1
74,0,24,-22.99999999999997,0.0,0.0,64,a-2
75,0,25,-21.699999999999974,0.0,0.0,67,overall
76,0,25,-24.199999999999974,0.0,0.0,67,a-1
77,0,25,2.5,0.0,0.0,67,a-2
78,0,26,-33.09999999999993,0.0,0.0,96,overall
79,0,26,-35.79999999999993,0.0,0.0,96,a-1
80,0,26,2.7,0.0,0.0,96,a-2
81,0,27,0.9699999999999998,0.0,0.0,62,overall
82,0,27,2.3699999999999997,0.0,0.0,62,a-1
83,0,27,-1.4,0.0,0.0,62,a-2
84,0,28,-11.870000000000012,0.0,0.0,66,overall
85,0,28,2.329999999999999,0.0,0.0,66,a-1
86,0,28,-14.20000000000001,0.0,0.0,66,a-2
87,0,29,-22.86999999999997,0.0,0.0,70,overall
88,0,29,-25.39999999999997,0.0,0.0,70,a-1
89,0,29,2.53,0.0,0.0,70,a-2
90,0,30,-23.899999999999967,0.0,0.0,73,overall
91,0,30,-26.599999999999966,0.0,0.0,73,a-1
92,0,30,2.6999999999999997,0.0,0.0,73,a-2
93,0,31,-15.029999999999992,0.0,0.0,62,overall
94,0,31,2.369999999999999,0.0,0.0,62,a-1
95,0,31,-17.39999999999999,0.0,0.0,62,a-2
96,0,32,-3.910000000000003,0.0,0.0,30,overall
97,0,32,2.6899999999999995,0.0,0.0,30,a-1
98,0,32,-6.600000000000002,0.0,0.0,30,a-2
99,0,33,-24.05999999999996,0.0,0.0,73,overall
100,0,33,-26.59999999999996,0.0,0.0,73,a-1
101,0,33,2.5399999999999996,0.0,0.0,73,a-2
102,0,34,-4.850000000000004,0.0,0.0,44,overall
103,0,34,-7.400000000000004,0.0,0.0,44,a-1
104,0,34,2.55,0.0,0.0,44,a-2
105,0,35,-5.890000000000003,0.0,0.0,28,overall
106,0,35,-8.600000000000003,0.0,0.0,28,a-1
107,0,35,2.71,0.0,0.0,28,a-2
108,0,36,-12.04000000000001,0.0,0.0,83,overall
109,0,36,-14.20000000000001,0.0,0.0,83,a-1
110,0,36,2.1599999999999993,0.0,0.0,83,a-2
111,0,37,-12.880000000000011,0.0,0.0,47,overall
112,0,37,-15.400000000000011,0.0,0.0,47,a-1
