,episode,contracting,reward,number_contracts,episode_steps,reward_a0,accumulated_transfer_a0,greedy_a0,reward_a1,accumulated_transfer_a1,greedy_a1
88,88,True,4.12,0,30,4.5600000000000005,0.0,0.0,-0.44000000000000006,0.0,0.0
89,89,True,0.21999999999999997,0,24,-0.38,0.99,0.0,0.6,0.0,0.0
90,90,True,-0.04000000000000026,0,42,0.46999999999999986,0.0,0.0,-0.5100000000000001,0.0,0.0
91,91,True,4.4,0,24,-0.30000000000000004,0.0,0.0,4.7,0.0,0.0
92,92,True,0.6799999999999999,0,6,-0.15,0.0,0.0,0.83,0.0,0.0
93,93,True,4.5,0,8,-0.25,0.0,0.0,4.75,0.0,0.0
94,94,True,4.0600000000000005,0,28,-0.47000000000000003,0.0,0.0,4.53,0.0,0.0
95,95,True,4.66,0,14,4.294139983057976,0.0,0.0,0.3658600169420242,0.0,0.0
96,96,True,3.2200000000000006,0,78,0.8667003369331361,0.0,0.0,2.3532996630668643,0.0,0.0
97,97,True,0.27999999999999986,0,22,-0.35000000000000003,0.0,0.0,0.6299999999999999,0.0,0.0
98,98,True,0.28,0,16,-0.35,0.0,0.0,0.63,0.0,0.0
99,99,True,0.6199999999999999,0,8,0.7999999999999999,0.0,0.0,-0.18,0.0,0.0
100,100,True,4.460000000000001,0,14,-0.27,0.0,0.0,4.73,0.0,0.0
101,101,True,0.3199999999999999,0,20,-0.33,0.0,0.0,0.6499999999999999,0.0,0.0
102,102,True,3.74,0,48,4.37,0.0,0.0,-0.6300000000000001,0.0,0.0
103,103,True,4.58,0,10,4.79,0.0,0.0,-0.20999999999999996,0.0,0.0
104,104,True,0.3999999999999999,0,36,0.69,0.0,0.0,-0.29000000000000004,0.0,0.0
105,105,True,0.5399999999999999,0,14,0.7599999999999999,0.0,0.0,-0.22,0.0,0.0
106,106,True,4.180000000000001,0,16,4.590000000000001,0.0,0.0,-0.41,0.0,0.0
107,107,True,4.4,0,10,0.6958634972572326,0.0,0.0,3.7041365027427675,0.0,0.0
108,108,True,0.56,0,10,0.77,0.0,0.0,-0.21000000000000002,0.0,0.0
109,109,True,3.34,0,52,4.17,0.0,0.0,-0.8300000000000001,0.0,0.0
110,110,True,0.2599999999999998,0,38,0.6199999999999999,0.0,0.0,-0.3600000000000001,0.0,0.0
111,111,True,3.0999999999999996,0,68,-0.9500000000000001,0.0,0.0,4.05,0.0,0.0
112,112,True,4.42,0,16,-0.29,0.0,0.0,4.71,0.0,0.0
113,113,True,0.52,0,12,-0.23,0.99,0.0,0.75,0.0,0.0
114,114,True,0.2999999999999999,0,20,0.6399999999999999,0.0,0.0,-0.34,0.0,0.0
115,115,True,-0.32000000000000006,0,36,0.32999999999999996,0.0,0.0,-0.65,0.0,0.0
116,116,True,4.48,0,10,-0.25999999999999995,0.0,0.0,4.74,0.0,0.0
117,117,True,0.5,0,12,0.74,0.0,0.0,-0.24,0.0,0.0
118,118,True,4.24,0,40,4.62,0.0,0.0,-0.3800000000000001,0.0,0.0
119,119,True,4.62,0,20,0.23094421386718747,0.0,0.0,4.389055786132813,0.4209442138671875,0.0
120,120,True,4.42,0,22,4.71,0.0,0.0,-0.29000000000000004,0.0,0.0
121,121,True,-0.19999999999999996,0,38,-0.59,0.0,0.0,0.39,0.0,0.0
122,122,True,0.54,0,12,-0.22000000000000003,0.0,0.0,0.76,0.0,0.0
123,123,True,4.52,0,16,-0.24,0.0,0.0,4.76,0.0,0.0
124,124,True,4.42,0,22,-0.29000000000000004,0.0,0.0,4.71,0.0,0.0
125,125,True,3.9,0,48,-0.5500000000000002,0.0,0.0,4.45,0.0,0.0
126,126,True,4.4,0,6,4.7,0.0,0.0,-0.3,0.0,0.0
127,127,True,-1.6400000000000006,0,92,-0.8200000000000003,0.0,0.0,-0.8200000000000003,0.0,0.0
128,128,True,-0.14000000000000012,0,38,-0.56,0.0,0.0,0.41999999999999993,0.0,0.0
129,129,True,0.6200000000000001,0,4,0.8,0.0,0.0,-0.18,0.0,0.0
130,130,True,4.24,0,24,-0.38,0.0,0.0,4.62,0.0,0.0
131,131,True,-0.28,0,38,0.35,0.0,0.0,-0.63,0.99,0.0
132,132,True,0.08000000000000007,0,20,-0.44999999999999996,0.0,0.0,0.53,0.0,0.0
133,133,True,4.62,0,8,3.9960646903514867,0.0,0.0,0.6239353096485137,0.0,0.0
134,134,True,0.2799999999999998,0,36,-0.3500000000000001,0.99,0.0,0.6299999999999999,0.0,0.0
135,135,True,4.5200000000000005,0,12,3.833655903339386,0.0,0.0,0.686344096660614,0.0,0.0
136,136,True,4.460000000000001,0,20,-0.27,0.0,0.0,4.73,0.0,0.0
137,137,True,0.05999999999999983,0,52,-0.4600000000000001,0.0,0.0,0.5199999999999999,0.0,0.0
138,138,True,4.4,0,22,1.1773569405078887,0.0,0.0,3.2226430594921114,0.0,0.0
139,139,True,-0.04000000000000026,0,44,0.46999999999999986,0.0,0.0,-0.5100000000000001,0.0,0.0
140,140,True,4.7,0,8,-0.14999999999999997,0.0,0.0,4.8500000000000005,0.0,0.0
141,141,True,-0.26,0,38,-0.62,0.0,0.0,0.36,0.0,0.0
142,142,True,-0.18000000000000038,0,62,-0.5800000000000002,0.0,0.0,0.3999999999999998,0.0,0.0
143,143,True,-0.040000000000000036,0,50,-0.51,0.99,0.0,0.47,0.0,0.0
144,144,True,4.74,0,6,4.174879009723663,0.0,0.0,0.5651209902763367,0.0,0.0
145,145,True,4.6,0,8,4.042832273244858,0.0,0.0,0.5571677267551421,0.0,0.0
146,146,True,0.6599999999999999,0,16,-0.16,0.0,0.0,0.82,0.0,0.0
147,147,True,3.4000000000000012,0,48,4.200000000000001,0.0,0.0,-0.8,0.0,0.0
148,148,True,4.16,0,20,-0.42,0.0,0.0,4.58,0.0,0.0
149,149,True,4.4799999999999995,0,28,0.5841253304481505,0.0,0.0,3.895874669551849,0.0,0.0
150,150,True,4.540000000000001,0,12,0.44346525192260744,0.0,0.0,4.096534748077393,0.0,0.0
151,151,True,4.48,0,26,3.4822062754631045,0.0,0.0,0.9977937245368957,0.0,0.0
152,152,True,4.300000000000001,0,16,-0.35,0.0,0.0,4.65,0.0,0.0
153,153,True,3.72,0,44,4.36,0.0,0.0,-0.6400000000000001,0.0,0.0
154,154,True,0.6599999999999999,0,10,-0.16,0.0,0.0,0.82,0.0,0.0
155,155,True,0.11999999999999988,0,34,-0.43000000000000005,0.99,0.0,0.5499999999999999,0.0,0.0
156,156,True,0.2999999999999998,0,28,0.6399999999999999,0.0,0.0,-0.3400000000000001,0.0,0.0
157,157,True,0.2199999999999998,0,28,-0.38000000000000006,0.0,0.0,0.5999999999999999,0.0,0.0
158,158,True,0.43999999999999995,0,20,-0.27,0.99,0.0,0.71,0.0,0.0
159,159,True,0.6,0,10,0.7899999999999999,0.0,0.0,-0.18999999999999997,0.0,0.0
160,160,True,0.43999999999999984,0,24,0.7099999999999999,0.0,0.0,-0.27,0.0,0.0
161,161,True,4.5600000000000005,0,16,4.2229183900356295,0.0,0.0,0.33708160996437075,0.0,0.0
162,162,True,4.220000000000001,0,16,1.4634373641014098,0.0,0.0,2.7565626358985904,0.0,0.0
163,163,True,0.0799999999999999,0,30,0.5299999999999999,0.0,0.0,-0.45,0.0,0.0
164,164,True,0.42,0,8,-0.27999999999999997,0.0,0.0,0.7,0.0,0.0
165,165,True,4.18,0,40,4.59,0.0,0.0,-0.4100000000000001,0.0,0.0
166,166,True,-0.1200000000000001,0,36,0.42999999999999994,0.0,0.0,-0.55,0.0,0.0
167,167,True,-0.9600000000000002,0,84,-0.9700000000000001,0.0,0.0,0.009999999999999898,0.0,0.0
168,168,True,4.44,0,18,4.720000000000001,0.0,0.0,-0.28,0.0,0.0
169,169,True,0.39999999999999997,0,16,-0.29,0.0,0.0,0.69,0.0,0.0
170,170,True,4.5200000000000005,0,22,0.7261748409271239,0.0,0.0,3.793825159072876,0.0,0.0
171,171,True,0.1599999999999997,0,42,0.5699999999999998,0.0,0.0,-0.41000000000000014,0.0,0.0
172,172,True,4.42,0,26,-0.29000000000000004,0.0,0.0,4.71,0.0,0.0
173,173,True,3.98,0,40,4.49,0.0,0.0,-0.5100000000000001,0.0,0.0
174,174,True,4.54,0,12,0.5768816363811493,0.0,0.0,3.9631183636188507,0.0,0.0
175,175,True,0.56,0,10,0.77,0.0,0.0,-0.21000000000000002,0.0,0.0
176,176,True,0.15999999999999992,0,24,-0.41000000000000003,0.0,0.0,0.57,0.0,0.0
177,177,True,-0.19999999999999996,0,48,0.39,0.0,0.0,-0.59,0.0,0.0
178,178,True,-0.020000000000000018,0,30,0.48,0.0,0.0,-0.5,0.99,0.0
179,179,True,3.8000000000000003,0,48,4.4,0.0,0.0,-0.6000000000000001,0.0,0.0
180,180,True,4.1000000000000005,0,24,4.550000000000001,0.0,0.0,-0.45,0.0,0.0
181,181,True,-0.040000000000000036,0,32,-0.51,0.0,0.0,0.47,0.0,0.0
182,182,True,4.5600000000000005,0,14,-0.22,0.0,0.0,4.78,0.0,0.0
183,183,True,3.22,0,52,-0.89,0.0,0.0,4.11,0.0,0.0
184,184,True,4.58,0,6,4.013493993282318,0.0,0.0,0.5665060067176819,0.0,0.0
185,185,True,-2.3600000000000003,0,92,-1.1800000000000002,0.0,0.0,-1.1800000000000002,0.0,0.0
186,186,True,4.42,0,20,1.1477063810825348,0.0,0.0,3.2722936189174656,0.0,0.0
187,187,True,0.54,0,12,-0.21999999999999997,0.0,0.0,0.76,0.0,0.0
188,188,True,0.39999999999999997,0,24,0.69,0.0,0.0,-0.29,0.99,0.0
189,189,True,3.72,0,48,-0.6400000000000001,0.0,0.0,4.36,0.0,0.0
190,190,True,0.54,0,20,0.76,0.0,0.0,-0.22,0.0,0.0
191,191,True,0.13999999999999974,0,42,-0.4200000000000001,0.0,0.0,0.5599999999999998,0.0,0.0
192,192,True,0.2800000000000001,0,10,-0.3499999999999999,0.0,0.0,0.63,0.0,0.0
193,193,True,4.42,0,24,4.012483290433884,0.0,0.0,0.4075167095661163,0.0,0.0
194,194,True,0.17999999999999994,0,28,0.58,0.0,0.0,-0.4,0.0,0.0
195,195,True,4.300000000000001,0,34,4.18391931951046,0.4660806804895401,0.0,0.11608068048954001,0.0,0.0
196,196,True,4.16,0,14,-0.41999999999999993,0.0,0.0,4.58,0.0,0.0
197,197,True,0.6599999999999999,0,12,0.82,0.0,0.0,-0.15999999999999998,0.0,0.0
198,198,True,4.38,0,20,-0.31,0.0,0.0,4.6899999999999995,0.0,0.0
199,199,True,4.680000000000001,0,4,0.7380621695518493,0.0,0.0,3.941937830448151,0.0,0.0
200,200,True,0.31999999999999984,0,50,0.6499999999999999,0.0,0.0,-0.33000000000000007,0.99,0.0
201,201,True,3.72,0,54,-0.6400000000000001,0.0,0.0,4.36,0.0,0.0
202,202,True,3.6000000000000005,0,46,4.300000000000001,0.0,0.0,-0.7000000000000001,0.0,0.0
203,203,True,0.6399999999999999,0,18,-0.17000000000000004,0.99,0.0,0.8099999999999999,0.0,0.0
204,204,True,0.49999999999999983,0,26,0.7399999999999999,0.0,0.0,-0.24000000000000005,0.0,0.0
205,205,True,4.34,0,30,0.6235914957523345,0.0,0.0,3.7164085042476653,0.9535914957523346,0.0
206,206,True,0.6199999999999999,0,12,0.7999999999999999,0.0,0.0,-0.18,0.0,0.0
207,207,True,0.19999999999999996,0,20,0.59,0.0,0.0,-0.39,0.0,0.0
208,208,True,0.5199999999999998,0,20,0.7499999999999999,0.0,0.0,-0.23000000000000004,0.0,0.0
209,209,True,4.52,0,30,0.08416504621505727,0.0,0.0,4.435834953784942,0.3241650462150574,0.0
210,210,True,4.6000000000000005,0,4,0.8306224822998047,0.0,0.0,3.7693775177001956,0.0,0.0
211,211,True,4.160000000000001,0,18,4.580000000000001,0.0,0.0,-0.42,0.0,0.0
212,212,True,4.5600000000000005,0,16,0.5419195282459258,0.0,0.0,4.018080471754074,0.0,0.0
213,213,True,0.48,0,16,0.73,0.0,0.0,-0.25,0.99,0.0
214,214,True,0.26,0,18,-0.36,0.0,0.0,0.62,0.0,0.0
215,215,True,4.74,0,6,0.6770863485336304,0.0,0.0,4.06291365146637,0.0,0.0
216,216,True,0.5599999999999998,0,18,0.7699999999999999,0.0,0.0,-0.21000000000000005,0.0,0.0
217,217,True,0.43999999999999995,0,22,0.71,0.0,0.0,-0.27,0.0,0.0
218,218,True,-0.20000000000000018,0,48,0.3899999999999999,0.0,0.0,-0.5900000000000001,0.99,0.0
219,219,True,4.199999999999999,0,38,-0.4000000000000001,0.0,0.0,4.6,0.0,0.0
220,220,True,-0.5000000000000002,0,48,-0.7400000000000001,0.0,0.0,0.23999999999999988,0.0,0.0
221,221,True,-1.6653345369377348e-16,0,34,0.4899999999999999,0.0,0.0,-0.49000000000000005,0.0,0.0
222,222,True,0.35999999999999993,0,18,-0.31,0.0,0.0,0.6699999999999999,0.0,0.0
223,223,True,4.54,0,26,-0.23,0.0,0.0,4.7700000000000005,0.0,0.0
